"","item","style","condition","question","subresp","RT","participant"
"167","1","Direct","LIE","Which primary school are you from?",0,0,"003"
"168","26","Indirect","TRUTH","Do you smoke regularly?",0,0,"003"
"169","14","Indirect","TRUTH","Is your favourite flavour Strawberry?",0,0,"003"
"170","14","Indirect","LIE","Is your favourite flavour Chocolate?",0,0,"003"
"171","2","Direct","TRUTH","Which secondary school did you attend?",0,0,"003"
"172","25","Direct","TRUTH","How old is your dad? (Eg. 45, 52)",0,0,"003"
"173","4","Indirect","LIE","Is Mrs Leong your favourite teacher in secondary school?",0,0,"003"
"174","23","Indirect","LIE","Are you studying Business course in NTU?",0,0,"003"
"175","26","Indirect","LIE","Do you not smoke at all? ",0,0,"003"
"176","1","Indirect","TRUTH","Are you from Canberra Primary School?",0,0,"003"
"177","15","Indirect","TRUTH","Are you from Temasek Polytechnic?",0,0,"003"
"178","28","Indirect","TRUTH","Is your religion Buddhism?",0,0,"003"
"179","15","Direct","LIE","Which polytechnic or junior college are you from?",0,0,"003"
"180","22","Indirect","TRUTH","Are you in your 3rd year in NTU?",0,0,"003"
"181","25","Indirect","LIE","Is your dad 49 years old this year?",0,0,"003"
"182","17","Indirect","TRUTH","Did you celebrate your 21st birthday at home?",0,0,"003"
"183","28","Direct","LIE","What religion do you practice?",0,0,"003"
"184","4","Direct","TRUTH","Who is your favourite teacher in secondary school?",0,0,"003"
"185","22","Indirect","LIE","Are you in your 1st year in NTU?",0,0,"003"
"186","24","Indirect","LIE","Is your mum 42 years old this year?",0,0,"003"
"187","20","Indirect","TRUTH","Is your house on the 6th floor of the building?",0,0,"003"
"188","16","Indirect","LIE","Do you have 3 siblings?",0,0,"003"
"189","17","Direct","LIE","Where did you celebrate your 21st birthday?",0,0,"003"
"190","18","Indirect","TRUTH","Was the last country you visited Australia?",0,0,"003"
"191","16","Indirect","TRUTH","Do you have 0 siblings?",0,0,"003"
"192","12","Direct","TRUTH","What was your favourite subject back in secondary school?",0,0,"003"
"193","2","Indirect","LIE","Are you from Naval Base Secondary School?",0,0,"003"
"194","19","Direct","LIE","Which MRT station is closest to your house?",0,0,"003"
"195","23","Indirect","TRUTH","Are you studying Materials Science and Engineering course in NTU?",0,0,"003"
"196","18","Direct","LIE","What was the last country you visited?",0,0,"003"
"197","30","Direct","TRUTH","What brand of laptop do you mainly use?",0,0,"003"
"198","6","Indirect","LIE","Were you in the NPCC CCA during secondary school?",0,0,"003"
"199","29","Direct","LIE","What brand of handphone do you use?",0,0,"003"
"200","12","Direct","LIE","What was your favourite subject back in secondary school?",0,0,"003"
"201","2","Indirect","TRUTH","Are you from Anderson Secondary School?",0,0,"003"
"202","29","Indirect","TRUTH","Do you use a Apple phone?",0,0,"003"
"203","28","Direct","TRUTH","What religion do you practice?",0,0,"003"
"204","23","Direct","TRUTH","What course are you studying?",0,0,"003"
"205","14","Direct","LIE","What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",0,0,"003"
"206","17","Indirect","LIE","Did you celebrate your 21st birthday at Marina Bay Sands?",0,0,"003"
"207","12","Indirect","LIE","Was your favourite subject Chemistry back in secondary school?",0,0,"003"
"208","14","Direct","TRUTH","What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",0,0,"003"
"209","25","Indirect","TRUTH","Is your dad 53 years old this year?",0,0,"003"
"210","1","Direct","TRUTH","Which primary school are you from?",0,0,"003"
"211","24","Indirect","TRUTH","Is your mum 51 years old this year?",0,0,"003"
"212","15","Direct","TRUTH","Which polytechnic or junior college are you from?",0,0,"003"
"213","18","Indirect","LIE","Was the last country you visited Bei Jing, China?",0,0,"003"
"214","29","Indirect","LIE","Do you use a Xiaomi phone?",0,0,"003"
"215","1","Indirect","LIE","Are you from Woodlands Primary School?",0,0,"003"
"216","2","Direct","LIE","Which secondary school did you attend?",0,0,"003"
"217","26","Direct","LIE","How often do you smoke?",0,0,"003"
"218","19","Indirect","TRUTH","Is the Redhill station the closest MRT to your house?",0,0,"003"
"219","6","Direct","LIE","What CCA (Co-curricular Activity) did you join in secondary school?",0,0,"003"
"220","26","Direct","TRUTH","How often do you smoke?",0,0,"003"
"221","22","Direct","LIE","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0,0,"003"
"222","16","Direct","LIE","How many siblings do you have? (Eg. 0, 1, 2, 3)",0,0,"003"
"223","12","Indirect","TRUTH","Was your favourite subject Social Studies back in secondary school?",0,0,"003"
"224","23","Direct","LIE","What course are you studying?",0,0,"003"
"225","4","Direct","LIE","Who is your favourite teacher in secondary school?",0,0,"003"
"226","20","Indirect","LIE","Is your house on the 15th floor of the building?",0,0,"003"
"227","22","Direct","TRUTH","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0,0,"003"
"228","15","Indirect","LIE","Are you from Serangoon Junior College?",0,0,"003"
"229","6","Direct","TRUTH","What CCA (Co-curricular Activity) did you join in secondary school?",0,0,"003"
"230","4","Indirect","TRUTH","Is Mr Tan your favourite teacher in secondary school?",0,0,"003"
"231","25","Direct","LIE","How old is your dad? (Eg. 45, 52)",0,0,"003"
"232","16","Direct","TRUTH","How many siblings do you have? (Eg. 0, 1, 2, 3)",0,0,"003"
"233","30","Indirect","LIE","Do you use a Dell laptop?",0,0,"003"
"234","24","Direct","LIE","How old is your mum? (Eg. 45, 52)",0,0,"003"
"235","28","Indirect","LIE","Is your religion Catholicism?",0,0,"003"
"236","19","Indirect","LIE","Is the Seng Kang station the closest MRT to your house?",0,0,"003"
"237","18","Direct","TRUTH","What was the last country you visited?",0,0,"003"
"238","20","Direct","TRUTH","Which floor of the building is your house on?",0,0,"003"
"239","17","Direct","TRUTH","Where did you celebrate your 21st birthday?",0,0,"003"
"240","30","Indirect","TRUTH","Do you use a Lenovo laptop?",0,0,"003"
"241","2","Direct","LIE","Which secondary school did you attend?",0,0,"004"
"242","17","Direct","TRUTH","Where did you celebrate your 21st birthday?",1,6.56630912213586,"004"
"243","28","Direct","TRUTH","What religion do you practice?",0.886111111111111,2.75036667659879,"004"
"244","14","Indirect","TRUTH","Is your favourite flavour Spicy Cod Roe?",0.775,2.20025837374851,"004"
"245","7","Direct","TRUTH","What is your favourite sport?",0.811111111111111,2.88367368280888,"004"
"246","2","Direct","TRUTH","Which secondary school did you attend?",0.82962962962963,2.76704196236096,"004"
"247","21","Indirect","LIE","Are you from School of Engineering in NTU?",0.714814814814815,3.44961805338971,"004"
"248","14","Direct","LIE","What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",0.759259259259259,3.48396246880293,"004"
"249","22","Indirect","TRUTH","Are you in your 1st year in NTU?",0.759259259259259,0.798409335548058,"004"
"250","7","Indirect","LIE","Is your favourite sport Dance, Martial Arts?",0.711111111111111,1.66627806867473,"004"
"251","19","Indirect","LIE","Is the Woodlands station the closest MRT to your house?",0.786111111111111,4.9830860379152,"004"
"252","16","Direct","TRUTH","How many siblings do you have? (Eg. 0, 1, 2, 3)",0.673148148148148,4.19836050947197,"004"
"253","13","Indirect","LIE","Is your dream job a Scientist when you were growing up?",0.734259259259259,2.35000327206217,"004"
"254","8","Direct","TRUTH","What is your favourite food?",0.805555555555556,2.16800975752994,"004"
"255","6","Indirect","LIE","Were you in the Basketball CCA during secondary school?",0.769444444444444,3.36684986599721,"004"
"256","15","Direct","LIE","Which polytechnic or junior college are you from?",0.784259259259259,1.81509328284301,"004"
"257","26","Direct","LIE","How often do you smoke?",0.775925925925926,0.899016036419198,"004"
"258","19","Direct","TRUTH","Which MRT station is closest to your house?",0.789814814814815,3.49951911787502,"004"
"259","13","Indirect","TRUTH","Is your dream job a Teacher when you were growing up?",0.715740740740741,1.33220453816466,"004"
"260","22","Direct","LIE","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0.786111111111111,2.64993449207395,"004"
"261","29","Indirect","LIE","Do you use a Samsung phone?",0.644444444444444,4.11788316909224,"004"
"262","1","Indirect","TRUTH","Are you from Punggol Primary School?",0.687037037037037,2.09955639508553,"004"
"263","8","Indirect","LIE","Is your favourite food Grilled Lobster?",0.734259259259259,1.49825579975732,"004"
"264","6","Direct","TRUTH","What CCA (Co-curricular Activity) did you join in secondary school?",0.850925925925926,1.28424368379638,"004"
"265","27","Indirect","LIE","Do you not drink alcohol at all? ",0.837962962962963,1.91487937187776,"004"
"266","16","Direct","LIE","How many siblings do you have? (Eg. 0, 1, 2, 3)",0.826851851851852,3.25176922278479,"004"
"267","23","Direct","LIE","What course are you studying?",0.807407407407407,1.4674793437589,"004"
"268","21","Direct","TRUTH","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.85462962962963,1.21630649152212,"004"
"269","27","Indirect","TRUTH","Do you drink alcohol socially?",0.833333333333333,1.21546823624521,"004"
"270","23","Direct","TRUTH","What course are you studying?",0.839814814814815,1.13321974803694,"004"
"271","30","Direct","LIE","What brand of laptop do you mainly use?",0.75462962962963,2.38492160243914,"004"
"272","29","Indirect","TRUTH","Do you use a Apple phone?",0.790740740740741,1.64863267797045,"004"
"273","26","Indirect","TRUTH","Do you not smoke at all? ",0.837962962962963,1.13253162777983,"004"
"274","15","Indirect","TRUTH","Are you from Jurong Junior College?",0.775,0.982478438876569,"004"
"275","1","Indirect","LIE","Are you from Pei Hwa Presbyterian Primary School?",0.407407407407407,9.46542107826099,"004"
"276","28","Direct","LIE","What religion do you practice?",0.769444444444444,0.632884189253673,"004"
"277","20","Direct","TRUTH","Which floor of the building is your house on?",0.678703703703704,0.864962267223746,"004"
"278","30","Indirect","TRUTH","Do you use a HP laptop?",0.848148148148148,1.29894347069785,"004"
"279","17","Direct","LIE","Where did you celebrate your 21st birthday?",0.675,2.03339484171011,"004"
"280","20","Direct","LIE","Which floor of the building is your house on?",0.577777777777778,3.54972590692341,"004"
"281","1","Direct","LIE","Which primary school are you from?",0.787037037037037,4.15004805615172,"004"
"282","7","Indirect","TRUTH","Is your favourite sport Swimming?",0.898148148148148,3.86777762509882,"004"
"283","21","Direct","LIE","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.819444444444444,3.43422757950611,"004"
"284","2","Indirect","LIE","Are you from Pasir Ris Secondary School?",0.200925925925926,0.815308219986036,"004"
"285","6","Indirect","TRUTH","Were you in the Concert Band CCA during secondary school?",0.749074074074074,7.33414378599264,"004"
"286","17","Indirect","TRUTH","Did you celebrate your 21st birthday at home?",0.853703703703704,2.86640715925023,"004"
"287","16","Indirect","TRUTH","Do you have 1 sibling?",0.853703703703704,1.06509713246487,"004"
"288","1","Direct","TRUTH","Which primary school are you from?",0.848148148148148,2.58394649275579,"004"
"289","23","Indirect","TRUTH","Are you studying Sociology course in NTU?",0.871296296296296,1.41440618922934,"004"
"290","28","Indirect","TRUTH","Is your religion Taoism?",0.773148148148148,1.28202758380212,"004"
"291","16","Indirect","LIE","Do you have 3 siblings?",0.831481481481481,2.38241357286461,"004"
"292","27","Direct","TRUTH","How frequently do you drink alcohol?",0.848148148148148,3.65039452211931,"004"
"293","6","Direct","LIE","What CCA (Co-curricular Activity) did you join in secondary school?",0.848148148148148,1.94944032886997,"004"
"294","30","Indirect","LIE","Do you use a Asus laptop?",0.410185185185185,3.35031605395488,"004"
"295","14","Indirect","LIE","Is your favourite flavour Vanilla?",0.410185185185185,2.16617059987038,"004"
