StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Q17,Q1_4,Q2_4,Q3_4,Q4_4,Q5_4,Q6_4,Q7_4,Q8_4,Q9_4,Q10_1,Q11_1,Q12_4,Q13_4,Q14_4,Q15_4,Q16_4,Q18
2021-02-16 00:25:17,2021-02-16 01:49:06,IP Address,155.69.192.53,100,5029,True,2021-02-16 01:49:06,R_3MQff8bLnDR29sL,,,,,1.316497802734375,103.923187255859375,anonymous,EN,022,500,8.9,9.8,8.1,-9.5,-9.6,-8.5,8.9,9.1,-6.1,9.3,8.8,9.1,-9.8,6.3,8.9,9.6,3500
2021-02-16 17:50:36,2021-02-16 20:44:25,IP Address,155.69.192.53,100,10429,True,2021-02-16 20:44:26,R_2Y39Ku5Z2GlFPaC,,,,,1.316497802734375,103.923187255859375,anonymous,EN,015,4,1.1,-4.4,-2.5,-1.6,3.7,2.3,-7,-7.5,2.6,4,-1.9,3.8,-3.3,4.3,2.8,6.3,25
2021-02-16 20:54:46,2021-02-16 22:43:46,IP Address,155.69.192.53,100,6539,True,2021-02-16 22:43:46,R_umKC5YgdXKXuqnT,,,,,1.316497802734375,103.923187255859375,anonymous,EN,009,3,-0.9,1.7,-0.9,7.7,3,3.5,4.4,-2.5,-3.9,8.3,-2.3,4.4,-1.8,2.6,1.9,4.6,21
2021-02-16 22:58:18,2021-02-17 00:07:09,IP Address,155.69.192.53,100,4131,True,2021-02-17 00:07:10,R_1Egox4QsL8D6ov2,,,,,1.316497802734375,103.923187255859375,anonymous,EN,006,2,-10,-10,-10,-10,-10,-10,2.3,-9,10,10,10,10,10,1,1,9.4,5
2021-02-17 00:21:32,2021-02-17 01:52:43,IP Address,155.69.192.53,100,5470,True,2021-02-17 01:52:43,R_3eqcLghvSRnnyTZ,,,,,1.316497802734375,103.923187255859375,anonymous,EN,008,4,-3.4,-3.7,-6,-9.3,-8.6,-5.7,-8.9,-7.7,-2.4,6.8,9.9,6.3,-1.6,5.5,3.1,4.2,25
2021-02-17 17:52:33,2021-02-17 18:56:50,IP Address,155.69.192.53,100,3857,True,2021-02-17 18:56:51,R_3oBeS5K1WY3Lc7B,,,,,1.316497802734375,103.923187255859375,anonymous,EN,029,10,2.4,1.6,2.6,4.2,5.1,4.7,3.3,-3.7,-1.3,9.2,-4.6,9.7,-2.9,7.3,4.9,6.1,70
2021-02-17 20:37:55,2021-02-17 20:40:33,IP Address,155.69.192.53,100,157,True,2021-02-17 20:40:34,R_3sziBfVRrNRZOkw,,,,,1.316497802734375,103.923187255859375,anonymous,EN,016,1,-7.8,-7,-1.9,5.7,7,6.6,0.5,-8.2,2.9,0.3,4.5,3.3,-7.2,6.8,7,3.3,5
2021-02-17 20:54:30,2021-02-17 21:59:52,IP Address,155.69.192.53,100,3922,True,2021-02-17 21:59:52,R_2zU6ncCcivNqiVf,,,,,1.316497802734375,103.923187255859375,anonymous,EN,023,10,5.2,0.5,-10,0.5,0.5,0.1,-0.5,-10,-9.9,10,10,10,-10,9.9,10,0,70
2021-02-17 22:07:34,2021-02-18 00:19:54,IP Address,155.69.192.53,100,7940,True,2021-02-18 00:19:55,R_tLOHi2CcJp1sHXH,,,,,1.316497802734375,103.923187255859375,anonymous,EN,021,1,3.6,4.9,4,4.8,6.4,2.3,5.5,4.9,2.2,2.6,0.1,-1.3,1.3,9.2,9.1,5.2,10
2021-02-18 00:32:10,2021-02-18 01:45:13,IP Address,155.69.192.53,100,4382,True,2021-02-18 01:45:13,R_3mk5lSX6l4skyuM,,,,,1.316497802734375,103.923187255859375,anonymous,EN,019,0,-4,5.6,-10,10,10,6.9,9.9,-3.3,-4.1,7.3,2.1,-2,-2.3,4.6,4,6.2,3
2021-02-18 19:07:19,2021-02-18 19:28:36,IP Address,155.69.192.53,100,1277,True,2021-02-18 19:28:37,R_3qsblfxmVWctJsJ,,,,,1.316497802734375,103.923187255859375,anonymous,EN,013,7,1.3,0.8,-1.5,-7.4,-5.9,-6.7,-3,3.2,7.5,-5.2,-2.7,4.4,4.3,3.8,4.7,6.6,49
2021-02-18 17:50:52,2021-02-18 20:39:47,IP Address,155.69.192.53,100,10134,True,2021-02-18 20:39:47,R_e9hc2f41K5xfK7f,,,,,1.316497802734375,103.923187255859375,anonymous,EN,017,1,-6.6,-1.2,-4.6,2.1,4.4,3.3,-4.8,-8.9,1.9,6.2,4.1,8.7,-3.1,4.4,3.8,6,2
2021-02-18 20:49:21,2021-02-18 22:03:23,IP Address,155.69.192.53,100,4441,True,2021-02-18 22:03:23,R_2xL7jjoCmeuFGOI,,,,,1.316497802734375,103.923187255859375,anonymous,EN,018,4,-4.6,0.4,-5.5,6.2,8.3,1.8,7.4,1.8,-6.8,10,0.7,2.2,-0.6,9.3,10,0,15
2021-02-18 22:13:37,2021-02-19 00:04:20,IP Address,155.69.192.53,100,6642,True,2021-02-19 00:04:21,R_1CJff9dUiJuoQ3V,,,,,1.316497802734375,103.923187255859375,anonymous,EN,012,5,1.4,1.7,0.1,2.8,4.7,2.9,2.6,-3.3,1.4,8,2.2,8.7,-0.2,10,7.1,5.9,30
2021-02-19 00:08:00,2021-02-19 01:59:46,IP Address,155.69.192.53,100,6705,True,2021-02-19 01:59:46,R_2zj8bcdfydXczNK,,,,,1.316497802734375,103.923187255859375,anonymous,EN,014,5,3.5,0.4,5.2,2,3.6,3,2.8,3.6,-5.2,-5,-2.1,-0.3,-2.5,2.2,1.5,10,30
2021-02-21 17:54:13,2021-02-21 19:17:46,IP Address,155.69.192.53,100,5012,True,2021-02-21 19:17:46,R_8unSqVxo3DGANu9,,,,,1.316497802734375,103.923187255859375,anonymous,EN,026,0,-10,-9.4,-10,-9.3,-8.9,-8.4,-6,-10,6.1,0.5,8.2,0.2,2,0.3,1.2,7.3,3
2021-02-21 19:29:02,2021-02-21 20:49:11,IP Address,155.69.192.53,100,4809,True,2021-02-21 20:49:12,R_3F36nST5swu340W,,,,,1.316497802734375,103.923187255859375,anonymous,EN,027,2,-5.2,-4.6,-8.8,-9.1,-10,-10,-10,-5.8,9.3,4.7,6.2,10,-2.6,10,4.2,5.5,10
2021-02-21 21:00:41,2021-02-21 22:06:39,IP Address,155.69.192.53,100,3957,True,2021-02-21 22:06:39,R_sbuUX9DWV65PvQB,,,,,1.316497802734375,103.923187255859375,anonymous,EN,024,1,-2.4,-7.6,-2.3,-5.4,-5.4,-0.6,-2.3,-10,9.8,8,9.7,5.4,3.6,2.8,7.4,8.1,3
2021-02-21 22:16:14,2021-02-22 00:18:40,IP Address,155.69.192.53,100,7346,True,2021-02-22 00:18:41,R_1pWoSsMnbpkFnd0,,,,,1.316497802734375,103.923187255859375,anonymous,EN,020,3,-8.4,-7.4,-6.9,1.6,2.9,2.5,2.2,-8.4,7.5,-0.4,9.1,1.7,9.2,1.1,-1.1,6.9,21
2021-02-22 20:24:56,2021-02-22 22:09:39,IP Address,155.69.192.53,100,6282,True,2021-02-22 22:09:39,R_306kJOPTVh6jl7s,,,,,1.316497802734375,103.923187255859375,anonymous,EN,028,1,-10,-10,-10,-10,-9.1,-10,-10,-10,8.2,2.3,10,10,10,8.4,8,10,2
2021-02-22 22:22:40,2021-02-23 00:07:27,IP Address,155.69.192.53,100,6287,True,2021-02-23 00:07:28,R_31LudyBnCZQ2X2u,,,,,1.316497802734375,103.923187255859375,anonymous,EN,030,5,-4.7,4.8,-6.2,8.6,8.6,7.5,10,-9.1,8.3,5.6,8.8,7.9,10,9,-8.3,1.2,35
2021-02-23 21:25:18,2021-02-23 23:19:40,IP Address,155.69.192.53,100,6862,True,2021-02-23 23:19:41,R_2TTXACfXJi2MjOa,,,,,1.316497802734375,103.923187255859375,anonymous,EN,025,1,-4,-3.8,-6.6,-1.3,-0.2,-0.3,-2.8,-5.2,1.4,3.9,5.6,-1.3,-2.6,4.5,2.3,4.7,6
